id,label,text,source,topic,word_count,perplexity
h01,human,"Abstract—This study investigates whether unsupervised clus-
tering algorithms can discover interpretable structure in music
data. Using the Top Spotify Songs 2023 dataset (953 tracks, 8
audio features), we apply three clustering algorithms—K-Means,
Hierarchical Clustering, and DBSCAN—and rigorously assess
cluster validity and interpretability. Our analysis reveals that
Hierarchical Clustering with complete linkage achieves the best
performance (Silhouette Score: 0.57, Davies-Bouldin Index: 0.73),
identifying two distinct clusters: “Energetic Pop/Dance” (72.3%)
and “Acoustic/Chill Ballads” (27.7%). All three algorithms con-
verge on a two-cluster solution, suggesting genuine structure
in the data rather than algorithmic artifacts. The discovered
clusters align with domain knowledge about music genres and
demonstrate actionable differentiation in audio features. We
conclude that the Spotify audio features capture meaningful
musical characteristics that enable interpretable segmentation,
with practical applications for playlist curation and music rec-
ommendation systems.",Paper 3,Spotify Interpretable Clustering,134,68.20149230957031
h02,human,"A. Clustering Algorithms
Clustering partitions data into groups based on similarity
without requiring labeled training data. Three major paradigms
exist, each with distinct assumptions and strengths.
K-Means [1] is a centroid-based algorithm that assigns
points to the nearest cluster center iteratively. Starting with k
random centroids, the algorithm alternates between assigning
each point to its nearest centroid and updating centroids as
cluster means until convergence. K-Means assumes spherical
clusters of",Paper 3,Spotify Interpretable Clustering,70,44.186981201171875
h03,human,"This study investigated whether clustering algorithms dis-
cover interpretable structure in Spotify music data. Our key
findings:
1) Yes, clusters are interpretable: Two distinct groups
emerge—“Energetic Pop/Dance” and “Acoustic/Chill
Ballads”—aligned with musical intuition and domain
knowledge
2) Best method: Hierarchical Clustering with complete
linkage achieves Silhouette = 0.57, significantly outper-
forming K-Means (0.23) and DBSCAN (0.20)
3) Genuine structure: Algorithm convergence on k = 2
indicates real patterns inherent to the data, not artifacts
of any single method
4) Actionable results: Clusters enable practical applica-
tions in playlist generation and music recommendation
Answer to Research Question: The discovered clusters
do align with interpretable structure. Spotify’s audio features
capture meaningful musical characteristics that support unsu-
pervised segmentation into recognizable, actionable categories.",Paper 3,Spotify Interpretable Clustering,120,101.56819152832031
h04,human,"Complete linkage measures maximum inter-cluster distance,
making it robust to outliers and effective for identifying
compact, well-separated clusters. K-Means’ lower Silhouette
(0.23) suggests the clusters aren’t perfectly spherical—an
assumption K-Means makes but complete linkage does not.
DBSCAN’s poor performance can be attributed to the
nature of music audio features. In high-dimensional spaces
with relatively homogeneous feature distributions, DBSCAN
struggles to identify density variations [2]. Music features tend
to be uniformly distributed within the feature space rather
than forming dense cores with sparse boundaries, which is
the structure DBSCAN is designed to detect. Additionally, the
13.2% outlier rate, while informative for identifying atypical
songs, reduces the data available for cluster formation and
lowers overall validation scores.",Paper 3,Spotify Interpretable Clustering,115,81.6165771484375
h05,human,"Internal validation metrics assess cluster quality without
ground truth labels. The Silhouette Score, introduced by
Rousseeuw [4], measures how similar points are to their
own cluster versus neighboring clusters, ranging from -1
(misclassified) to 1 (well-clustered). For point i, the silhouette
value is defined as s(i) = b(i)−a(i)
max(a(i),b(i)) , where a(i) is mean
intra-cluster distance and b(i) is mean nearest-cluster distance.
The Davies-Bouldin Index [5] computes the average simi-
larity between each cluster and its most similar cluster, where
similarity is the ratio of within-cluster distances to between-
cluster distance. Lower values indicate better separation.
The Calinski-Harabasz Index [6], also known as the
Variance Ratio Criterion, evaluates the ratio of between-cluster
dispersion to within-cluster dispersion. Higher values indicate
denser, better-separated clusters. This metric favors convex
clusters and may bias toward solutions with more clusters.",Paper 3,Spotify Interpretable Clustering,135,31.777935028076172
h06,human,"1. Domain Alignment: The clusters correspond to rec-
ognized music categories—high-energy dance music versus
acoustic ballads. These categories are familiar to music listen-
ers and industry professionals, validating that the clustering
captures meaningful distinctions.
2. Feature Coherence: The differentiating features (energy,
acousticness, danceability) have clear musical meanings. High
energy corresponds to loud, fast, intense music; high acoustic-
ness indicates organic instrumentation. These are not arbitrary
statistical patterns but perceptually meaningful attributes.
3. Actionability: The clusters enable distinct practical ap-
plications. Playlist curators can automatically separate workout
music (Cluster 0) from relaxation music (Cluster 1). Recom-
mendation systems can match user mood or activity to the
appropriate cluster.
4. Algorithm Agreement: Three fundamentally differ-
ent algorithms—centroid-based, density-based, and hierarchi-
cal—independently identify two clusters. This convergence
suggests the structure is inherent to the data rather than
imposed by any single algorithm’s assumptions.
Conclusion: The discovered clusters are highly inter-
pretable.",Paper 3,Spotify Interpretable Clustering,148,67.53010559082031
h07,human,"K-Means: Tested k ∈ {2,3,...,8}. Optimal k selected
via Elbow method (within-cluster sum of squares, WCSS)
and Silhouette analysis. Parameters: n_init=10 (10 random
initializations, best result kept), random_state=42 for re-
producibility.
Hierarchical Clustering: Agglomerative approach testing
three linkage methods (ward, complete, average). Cut height
determined from dendrogram analysis, seeking the largest
vertical gap indicating natural cluster boundaries.
DBSCAN: Parameters selected via k-distance plot, which
graphs the distance to the k-th nearest neighbor for each
point, sorted. The “elbow” indicates appropriate ϵ. Tested
ϵ ∈ {1.0,1.5,2.0} and min_samples ∈ {3,5,10}. Final
parameters: ϵ= 1.5, min_samples = 5.",Paper 3,Spotify Interpretable Clustering,96,83.33921813964844
h08,human,"1) Sunlight directly heats the surface.
2a) The heat radiation is retained by greenhouse gases, causing further warming.
2b) Without greenhouse gases, the heat radiation could escape directly and cool the surface more efficiently.
The greenhouse effect is the effect of greenhouse gases in the atmosphere that prevent the spread of heat radiation, thus causing a higher temperature on the planet's surface. The effect arises because the cloudless part of the atmosphere is largely transparent to short-wave radiation from the sun, but less transparent to long-wave infrared radiation emitted by the warm Earth's surface and heated air. The greenhouse effect is a natural phenomenon; however, human activities are enriching the Earth's atmosphere with additional greenhouse gases, which intensify the greenhouse effect and lead to global warming.""
""

Translated with DeepL.com (free version)",Wikipedia,Greenhouse Effect,132,21.861238479614258
h09,human,"The term greenhouse effect does not refer to the effect in a glass greenhouse, but rather vividly describes the related effect in the atmosphere. The similarity to a glass house is that light usually penetrates unhindered into the interior, while the resulting heat cannot escape from the system as easily. This heat barrier to the outside causes heat to accumulate, which raises the internal temperature. Heat loss also increases until it exactly balances the radiated power in the higher temperature equilibrium.",Wikipedia,Greenhouse Effect,81,43.356903076171875
h10,human,"Global warming—colloquially also referred to as “climate change,” “global warming,” or “global heating”—refers to the current rise in the average temperature of the Earth's atmosphere and oceans. It is a man-made climate change[1.1] resulting from net greenhouse gas emissions caused by the use of fossil fuels and unsustainable forestry and agriculture since the beginning of industrialization. Greenhouse gas emissions increase the retention capacity for infrared heat radiation in the troposphere, thereby amplifying the natural greenhouse effect. The most important greenhouse gas in current global warming is carbon dioxide (CO2), followed by others such as methane and nitrous oxide. The average CO2 concentration in the Earth's atmosphere measured by the Mauna Loa measuring station rose from around 280 ppm before the start of industrialization to over 420 ppm today.",Wikipedia,Global Warming,128,15.59981632232666
